code,state
an,andaman and nicobar
ap,andhra aradesh
ar,arunachal aradesh
as,assam
br,bihar
ch,chandigarh
ct,chhattisgarh
dd,daman and diu
dl,delhi
dn,dadra and nagar haveli
ga,goa
gj,gujarat
hp,himachal pradesh
hr,haryana
jh,jharkhand
jk,jammu and kashmir
ka,karnataka
kl,kerala
la,ladakh
ld,laskhadweep
mh,maharashtra
ml,meghalaya
mn,manipur
mp,madhya pradesh
mz,mizoram
nl,nagaland
or,odisha
pb,punjab
py,puducherry
rj,rajasthan
sk,sikkim
tg,telangana
tn,tamil nadu
tr,tripura
tt,india
up,uttar pradesh
ut,uttraakhand
wb,west bengal
